H HEADER INFORMATION ------------------------------------------- 
H COMPANY : Impetro Operating, LLC
H FIELD   : Winkler County., TX (NAD 27)
H SITE    : Sec 03, Blk C-24 PSLS
H WELL    : Kudu A #2H
H WELLPATH: Wellbore #1
H DEPTHUNT: usft
H SURVDATE: 1/1/1990 
H---------------------------------------------------------------- 
H WELL INFORMATION 
H WELL EW MAP : 1072754.46
H WELL NS MAP : 852298.31
H DATUM ELEVN : 3018.00
H VSECT ANGLE : 166.60
H VSECT NORTH : 0.00
H VSECT EAST  : 0.00
H----------------------------------------------------------------
H SURVEY TYPE INFORMATION
H  122.00 - 19683.00 SURVEY #1 : MWD
H  19683.00 - 21261.62 PLAN #6A : MWD
H----------------------------------------------------------------
H SURVEY LIST
H MD      INC       AZI       TVD       NS        EW
3590.00   1.30      80.73     3589.47   32.16     37.08     
3600.00   1.30      79.88     3599.47   32.20     37.30     
3610.00   1.30      79.31     3609.47   32.24     37.53     
3620.00   1.30      79.87     3619.47   32.28     37.75     
3630.00   1.30      80.44     3629.46   32.32     37.97     
3640.00   1.30      81.00     3639.46   32.35     38.20     
3650.00   1.30      81.56     3649.46   32.39     38.42     
3660.00   1.30      82.13     3659.46   32.42     38.65     
3670.00   1.30      82.69     3669.45   32.45     38.87     
3680.00   1.30      83.25     3679.45   32.48     39.10     
3690.00   1.30      83.81     3689.45   32.50     39.32     
3700.00   1.30      84.38     3699.45   32.53     39.55     
3710.00   1.28      84.29     3709.44   32.55     39.77     
3720.00   1.25      83.74     3719.44   32.57     39.99     
3730.00   1.22      83.16     3729.44   32.60     40.20     
3740.00   1.18      82.56     3739.44   32.62     40.41     
3750.00   1.15      81.92     3749.43   32.65     40.61     
3760.00   1.12      81.24     3759.43   32.68     40.81     
3770.00   1.09      80.53     3769.43   32.71     41.00     
3780.00   1.06      79.77     3779.43   32.74     41.19     
3790.00   1.03      78.97     3789.43   32.78     41.36     
3800.00   1.00      78.28     3799.43   32.81     41.54     
3810.00   1.01      79.08     3809.42   32.85     41.71     
3820.00   1.02      79.86     3819.42   32.88     41.88     
3830.00   1.03      80.62     3829.42   32.91     42.06     
3840.00   1.04      81.37     3839.42   32.94     42.24     
